Namespace,Name,AuthPackageName
pypestream,floating-ui-dom,*pypestream*floating-ui-dom*
leafnoise,mirage,*leafnoise*mirage*
,opengov-k6-core,*opengov-k6-core*
opengov,eslint-config-service-users,*eslint-config-service-users*
airtm,jest-preset-ppf,*jest-preset-ppf*
virtahealth,babel-plugin-react-pure-component,*babel-plugin-react-pure-component*
emilgroup,cit-playwright-tests,*cit-playwright-tests*
teale.io,react-leaflet-marker-layer,*react-leaflet-marker-layer*
,react-leaflet-cluster-layer,*react-leaflet-cluster-layer*
,react-autolink-text,*react-autolink-text*
,ppf-eslint-config,*opengov*ppf-eslint-config*
,form-utils,*opengov*form-utils*
,form-renderer,*opengov*form-renderer*
,form-builder,*opengov*form-builder*
,qa-record-types-api,*opengov*qa-record-types-api*
,eslint-config-ppf,*eslint-config-ppf*
,ppf-backend-types,*opengov*ppf-backend-types*
,uuid-base32,*airtm*uuid-base32*
,substrate-root,*virtahealth*substrate-root*
,react-leaflet-heatmap-layer,*react-leaflet-heatmap-layer*
,changelog-sdk-node,*emilgroup*changelog-sdk-node*
,process-manager-sdk,*emilgroup*process-manager-sdk*
,discount-sdk-node,*emilgroup*discount-sdk-node*
,document-uploader,*emilgroup*document-uploader*
,discount-sdk,*emilgroup*discount-sdk*
,partner-portal-sdk,*emilgroup*partner-portal-sdk*
,docxtemplater-util,*emilgroup*docxtemplater-util*
,gdv-sdk-node,*emilgroup*gdv-sdk-node*
,setting-sdk,*emilgroup*setting-sdk*
,accounting-sdk,*emilgroup*accounting-sdk*
,task-sdk-node,*emilgroup*task-sdk-node*
,numbergenerator-sdk-node,*emilgroup*numbergenerator-sdk-node*
,task-sdk,*emilgroup*task-sdk*
,setting-sdk-node,*emilgroup*setting-sdk-node*
,partner-sdk,*emilgroup*partner-sdk*
,commission-sdk,*emilgroup*commission-sdk*
,customer-sdk,*emilgroup*customer-sdk*
,commission-sdk-node,*emilgroup*commission-sdk-node*
,document-sdk-node,*emilgroup*document-sdk-node*
,insurance-sdk,*emilgroup*insurance-sdk*
,teale.io/eslint-config,*teale.io*eslint-config*
,teale.io\eslint-config,*teale.io*eslint-config*
,,*teale.io*eslint-config*
,,*teale.io*eslint-config*
,document-sdk-node,*emilgroup*document-sdk-node*
